id_da_escola,tipo_da_escola,nome_da_escola,bairro,logradouro_da_entrega,numero,nome_subprefeitura,quantidade_de_material_didatico,latitude,longitude
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA,HENFIL,CAJU,RUA CARLOS SEIDL O,S/N,CAJU,20,-22.880888,-43.225326
634,ESCOLA MUNICIPAL,ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO,187,BENFICA,121,-22.889574,-43.236202
483,ESCOLA MUNICIPAL,CELESTINO SILVA,CENTRO,RUA DO LAVRADIO,56,CENTRO,220,-22.909293,-43.183579
476,ESCOLA MUNICIPAL,FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA,20,SAO CRISTOVAO,190,-22.897629,-43.227456
132,ESCOLA MUNICIPAL,PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN,45,RIO COMPRIDO,67,-22.924412,-43.208579
017,ESCOLA MUNICIPAL,PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE,90,IPANEMA,0,-22.983332,-43.199036
055,ESCOLA MUNICIPAL,SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS,38,SANTA TERESA,0,-22.915535,-43.191588
490,ESCOLA MUNICIPAL,TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS O,S/N,CENTRO,578,-22.907123,-43.195068
600,ESCOLA MUNICIPAL,URUGUAI,BENFICA,RUA ANA NERI,192,BENFICA,591,-22.898488,-43.237756
089,ESCOLA MUNICIPAL,MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO,148,RIO COMPRIDO,0,-22.917233,-43.211044
387,CENTRO INTEGRADO DE EDUCACAO PUBLICA,PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA O,S/N,HUMAITA,456,-22.959167,-43.199723
331,CENTRO INTEGRADO DE EDUCACAO PUBLICA,TANCREDO NEVES,CATETE,RUA DO CATETE,77,CATETE,223,-22.922785,-43.176685
450,ESCOLA MUNICIPAL,ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ,124,FLAMENGO,420,-22.940711,-43.17647
558,ESCOLA MUNICIPAL,CICERO PENA,COPACABANA,AVENIDA ATLANTICA,1976,COPACABANA,573,-22.968647,-43.181139
